algorithm,trial,plaintext_bytes,ciphertext_bytes,encryption_s,encoding_s,network_build_s,snn_simulation_s,spike_readout_s,decoding_s,decryption_s,online_total_without_build_s,online_total_with_build_s,peak_process_rss_mb,decoder_tie_fraction,decryption_success,exact_plaintext_recovery
RSA,4,105,256,0.0006765620782971382,0.0003824650775641203,0.0642635531257838,1.3047779719345272,9.26631037145853e-05,0.03901009587571025,0.0013776959385722876,1.3463174540083855,1.4105810071341693,587.890625,0.052734375,False,False
RSA,5,105,256,0.0006167939864099026,0.0003579859621822834,0.06414808589033782,1.3029214090202004,9.399396367371082e-05,0.03847153694368899,0.0013994670007377863,1.343861186876893,1.4080092727672309,587.890625,0.04736328125,False,False
RSA,6,105,256,0.0006695289630442858,0.0003505190834403038,0.0692142138723284,1.316175702959299,9.016995318233967e-05,0.04107479704543948,0.001374304061755538,1.359735022066161,1.4289492359384894,587.890625,0.0546875,False,False
RSA,7,105,256,0.0006133988499641418,0.00033821980468928814,0.06439599907025695,1.3023972979281098,8.641905151307583e-05,0.04224530910141766,0.0014442719984799623,1.347124916734174,1.4115209158044308,587.890625,0.04736328125,False,False
RSA,8,105,256,0.0006599209737032652,0.0003622721415013075,0.06408322392962873,1.2994257789105177,8.940603584051132e-05,0.039023770950734615,0.0014388160780072212,1.3409999650903046,1.4050831890199333,587.890625,0.052734375,False,False
RSA,9,105,256,0.0006318259984254837,0.00037418585270643234,0.06387751898728311,1.2979500298388302,8.661998435854912e-05,0.04079115204513073,0.001411922974511981,1.3412457366939634,1.4051232556812465,587.890625,0.05224609375,False,False
ECIES,0,105,198,0.0018773749470710754,0.0003418892156332731,0.06421888712793589,1.005755522986874,8.464395068585873e-05,0.026809614850208163,0.0013752100057899952,1.0362442559562624,1.1004631430841982,587.890625,0.0,True,True
ECIES,1,105,198,0.0018246099352836609,0.00028673699125647545,0.06485015200451016,1.0094889239408076,8.592382073402405e-05,0.026487673865631223,0.0013172209728509188,1.0394910895265639,1.104341241531074,587.890625,0.0,True,True
ECIES,2,105,198,0.0018344179261475801,0.00027469894848763943,0.06439334293827415,1.0054281088523567,8.442206308245659e-05,0.027138757053762674,0.0013705280143767595,1.0361309328582138,1.100524275796488,587.890625,0.0,True,True
ECIES,3,105,198,0.0018060910515487194,0.00027946988120675087,0.06575563014484942,1.0118735518772155,9.08758956938982e-05,0.02931089699268341,0.0013579858932644129,1.0447188715916127,1.1104745017364621,587.890625,0.0,True,True
ECIES,4,105,198,0.0019171740859746933,0.0003212708979845047,0.06541349203325808,1.0059396519791335,8.081714622676373e-05,0.027060828870162368,0.0013178028166294098,1.0366375457961112,1.1020510378293693,587.890625,0.0,True,True
ECIES,5,105,198,0.0018478999845683575,0.00026888097636401653,0.06720496504567564,1.0213022788520902,8.399994112551212e-05,0.026944763027131557,0.0013425108045339584,1.0517903335858136,1.1189952986314893,587.890625,0.0,True,True
ECIES,6,105,198,0.0018066051416099072,0.00027273804880678654,0.06670303200371563,1.0209381629247218,8.156895637512207e-05,0.02724969293922186,0.0014171670190989971,1.0517659350298345,1.1184689670335501,587.890625,0.0,True,True
ECIES,7,105,198,0.0018716941121965647,0.0002836610656231642,0.06453944905661047,1.01491680694744,8.319295011460781e-05,0.026919295080006123,0.0013593619223684072,1.0454340120777488,1.1099734611343592,587.890625,0.0,True,True
ECIES,8,105,198,0.0017957359086722136,0.00026861391961574554,0.06433533993549645,1.0171545990742743,8.336687460541725e-05,0.027265277924016118,0.0014074498321861029,1.04797504353337,1.1123103834688663,587.890625,0.0,True,True
ECIES,9,105,198,0.001845336053520441,0.000332023948431015,0.06496885791420937,1.0128719529602677,8.347304537892342e-05,0.027784254169091582,0.0014110018964856863,1.0443280420731753,1.1092968999873847,587.890625,0.0,True,True
